Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q02161	RHD_HUMAN	reviewed	Blood group Rh(D) polypeptide (RHXIII) (Rh polypeptide 2) (RhPII) (Rhesus D antigen) (CD antigen CD240D)	RHD	Homo sapiens (Human)	417
Q15669	RHOH_HUMAN	reviewed	Rho-related GTP-binding protein RhoH (GTP-binding protein TTF) (Translocation three four protein)	RHOH ARHH TTF	Homo sapiens (Human)	191
Q15020	SART3_HUMAN	reviewed	Squamous cell carcinoma antigen recognized by T-cells 3 (SART-3) (Tat-interacting protein of 110 kDa) (Tip110) (p110 nuclear RNA-binding protein)	SART3 KIAA0156 TIP110	Homo sapiens (Human)	963
Q16385	SSX2_HUMAN	reviewed	"Protein SSX2 (Cancer/testis antigen 5.2) (CT5.2) (Synovial sarcoma, X breakpoint 2) (Tumor antigen HOM-MEL-40)"	SSX2 SSX2A; SSX2B	Homo sapiens (Human)	188
Q4LDE5	SVEP1_HUMAN	reviewed	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)"	SVEP1 C9orf13 CCP22 SELOB	Homo sapiens (Human)	3571
O60224	SSX4_HUMAN	reviewed	Protein SSX4 (Cancer/testis antigen 5.4) (CT5.4)	SSX4 SSX4A; SSX4B	Homo sapiens (Human)	188
Q687X5	STEA4_HUMAN	reviewed	"Metalloreductase STEAP4 (EC 1.16.1.-) (Six-transmembrane epithelial antigen of prostate 4) (SixTransMembrane protein of prostate 2) (Tumor necrosis factor, alpha-induced protein 9)"	STEAP4 STAMP2 TNFAIP9	Homo sapiens (Human)	459
P55854	SUMO3_HUMAN	reviewed	Small ubiquitin-related modifier 3 (SUMO-3) (SMT3 homolog 1) (SUMO-2) (Ubiquitin-like protein SMT3A) (Smt3A)	SUMO3 SMT3A SMT3H1	Homo sapiens (Human)	103
Q9UH65	SWP70_HUMAN	reviewed	Switch-associated protein 70 (SWAP-70)	SWAP70 KIAA0640 HSPC321	Homo sapiens (Human)	585
Q6PIZ9	TRAT1_HUMAN	reviewed	T-cell receptor-associated transmembrane adapter 1 (T-cell receptor-interacting molecule) (TRIM) (pp29/30)	TRAT1 TCRIM HSPC062	Homo sapiens (Human)	186
P01850	TRBC1_HUMAN	reviewed	T-cell receptor beta-1 chain C region	TRBC1	Homo sapiens (Human)	177
P07996	TSP1_HUMAN	reviewed	Thrombospondin-1	THBS1 TSP TSP1	Homo sapiens (Human)	1170
P01737	TVA3_HUMAN	reviewed	T-cell receptor alpha chain V region PY14		Homo sapiens (Human)	135
Q14669	TRIPC_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (E3 ubiquitin-protein ligase for Arf) (ULF) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)	TRIP12 KIAA0045 ULF	Homo sapiens (Human)	1992
Q9UI38	TSP50_HUMAN	reviewed	Probable threonine protease PRSS50 (EC 3.4.25.-) (Cancer/testis antigen 20) (Serine protease 50) (Testis-specific protease-like protein 50)	PRSS50 CT20 TSP50	Homo sapiens (Human)	385
P01733	TVB1_HUMAN	reviewed	T-cell receptor beta chain V region YT35	TRBV12-3 TCRBV8S1	Homo sapiens (Human)	135
Q7Z3V4	UBE3B_HUMAN	reviewed	Ubiquitin-protein ligase E3B (EC 2.3.2.26) (HECT-type ubiquitin transferase E3B)	UBE3B	Homo sapiens (Human)	1068
P04435	TVB2_HUMAN	reviewed	T-cell receptor beta chain V region CTL-L17	TCRB	Homo sapiens (Human)	133
P41732	TSN7_HUMAN	reviewed	Tetraspanin-7 (Tspan-7) (Cell surface glycoprotein A15) (Membrane component chromosome X surface marker 1) (T-cell acute lymphoblastic leukemia-associated antigen 1) (TALLA-1) (Transmembrane 4 superfamily member 2) (CD antigen CD231)	TSPAN7 A15 DXS1692E MXS1 TM4SF2	Homo sapiens (Human)	249
P04436	TVA1_HUMAN	reviewed	T-cell receptor alpha chain V region HPB-MLT (Fragment)		Homo sapiens (Human)	131
P04437	TVA2_HUMAN	reviewed	T-cell receptor alpha chain V region CTL-L17	TCRA	Homo sapiens (Human)	139
E9PPL6	E9PPL6_HUMAN	unreviewed	B-lymphocyte antigen CD20 (Fragment)	MS4A1	Homo sapiens (Human)	123
H0YD17	H0YD17_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	229
H0YD90	H0YD90_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	195
A0A0A7E6P0	A0A0A7E6P0_HUMAN	unreviewed	Endoplasmic reticulum aminopeptidase 1 (Fragment)	ERAP1	Homo sapiens (Human)	941
A0A0A7E6D8	A0A0A7E6D8_HUMAN	unreviewed	Endoplasmic reticulum aminopeptidase 1 (Fragment)	ERAP1	Homo sapiens (Human)	941
B4DYA2	B4DYA2_HUMAN	unreviewed	"cDNA FLJ50292, highly similar to Squamous cell carcinoma antigen recognized byT-cells 3"		Homo sapiens (Human)	527
Q96PT1	Q96PT1_HUMAN	unreviewed	Kallikrein 4 splice variant	KLK4	Homo sapiens (Human)	159
A0A024R8Y9	A0A024R8Y9_HUMAN	unreviewed	"Selectin P (Granule membrane protein 140kDa, antigen CD62), isoform CRA_b"	SELP hCG_38007	Homo sapiens (Human)	830
H0YDW7	H0YDW7_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	240
E9PP61	E9PP61_HUMAN	unreviewed	CD82 antigen (Fragment)	CD82	Homo sapiens (Human)	68
H0YD13	H0YD13_HUMAN	unreviewed	CD44 antigen	CD44	Homo sapiens (Human)	206
A8K6H1	A8K6H1_HUMAN	unreviewed	"cDNA FLJ76662, highly similar to Homo sapiens type 1 tumor necrosis factor receptor shedding aminopeptidase regulator, mRNA"		Homo sapiens (Human)	941
C9D7C9	C9D7C9_HUMAN	unreviewed	Cellular tumor antigen p53	TP63	Homo sapiens (Human)	356
B2RAL6	B2RAL6_HUMAN	unreviewed	"cDNA, FLJ94991, highly similar to Homo sapiens integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) (ITGAL), mRNA"		Homo sapiens (Human)	1170
K7N5M3	K7N5M3_HUMAN	unreviewed	Human nkt tcr alpha chain (Human nkt tcr beta chain)	B2M HDCMA22P	Homo sapiens (Human)	220
H0YBZ2	H0YBZ2_HUMAN	unreviewed	HLA class II histocompatibility antigen gamma chain (Fragment)	CD74	Homo sapiens (Human)	316
Q8IUB6	Q8IUB6_HUMAN	unreviewed	CD95 antigen (Fragment)	CD95	Homo sapiens (Human)	109
H0YDI1	H0YDI1_HUMAN	unreviewed	Lymphocyte function-associated antigen 3 (Fragment)	CD58	Homo sapiens (Human)	131
A0A0A7E6P4	A0A0A7E6P4_HUMAN	unreviewed	Endoplasmic reticulum aminopeptidase 1 (Fragment)	ERAP1	Homo sapiens (Human)	941
B4E0V3	B4E0V3_HUMAN	unreviewed	"cDNA FLJ61519, highly similar to Leukocyte common antigen (EC 3.1.3.48)"		Homo sapiens (Human)	947
B4E2A8	B4E2A8_HUMAN	unreviewed	"cDNA FLJ61677, highly similar to CD209 antigen"		Homo sapiens (Human)	135
E9PM43	E9PM43_HUMAN	unreviewed	CD82 antigen (Fragment)	CD82	Homo sapiens (Human)	179
Q6NUL9	Q6NUL9_HUMAN	unreviewed	"Selectin P (Granule membrane protein 140kDa, antigen CD62)"	SELP	Homo sapiens (Human)	829
M0QX27	M0QX27_HUMAN	unreviewed	Urokinase plasminogen activator surface receptor (Fragment)	PLAUR	Homo sapiens (Human)	78
E9PCX9	E9PCX9_HUMAN	unreviewed	Natural killer cells antigen CD94	KLRD1	Homo sapiens (Human)	72
F8VNT9	F8VNT9_HUMAN	unreviewed	CD63 antigen (Fragment)	CD63	Homo sapiens (Human)	133
J3QL19	J3QL19_HUMAN	unreviewed	CD226 antigen (Fragment)	CD226	Homo sapiens (Human)	127
A0A0B4J2A1	A0A0B4J2A1_HUMAN	unreviewed	CD160 antigen	CD160	Homo sapiens (Human)	72
E7EVL5	E7EVL5_HUMAN	unreviewed	Monocyte differentiation antigen CD14 (Fragment)	CD14	Homo sapiens (Human)	81
B2R907	B2R907_HUMAN	unreviewed	"cDNA, FLJ94149, highly similar to Homo sapiens CD209 antigen (CD209), mRNA"		Homo sapiens (Human)	404
B7Z8X6	B7Z8X6_HUMAN	unreviewed	Cellular tumor antigen p53		Homo sapiens (Human)	369
E9PKC6	E9PKC6_HUMAN	unreviewed	CD44 antigen	CD44	Homo sapiens (Human)	78
Q96RQ0	Q96RQ0_HUMAN	unreviewed	Prostinogen		Homo sapiens (Human)	255
Q9ULV2	Q9ULV2_HUMAN	unreviewed	Fc-gamma receptor IIIb (CD16) (Fragment)		Homo sapiens (Human)	85
Q15098	Q15098_HUMAN	unreviewed	APS protein (Fragment)	APS	Homo sapiens (Human)	176
M0R083	M0R083_HUMAN	unreviewed	Leukocyte antigen CD37 (Fragment)	CD37	Homo sapiens (Human)	26
Q59F68	Q59F68_HUMAN	unreviewed	CD68 antigen variant (Fragment)		Homo sapiens (Human)	375
A0A087WX61	A0A087WX61_HUMAN	unreviewed	CD83 antigen	CD83	Homo sapiens (Human)	146
F5GXT1	F5GXT1_HUMAN	unreviewed	CD9 antigen (Fragment)	CD9	Homo sapiens (Human)	141
X6RB12	X6RB12_HUMAN	unreviewed	CD209 antigen	CD209	Homo sapiens (Human)	243
H0YHU8	H0YHU8_HUMAN	unreviewed	Squamous cell carcinoma antigen recognized by T-cells 3 (Fragment)	SART3	Homo sapiens (Human)	144
E9PJK9	E9PJK9_HUMAN	unreviewed	CD82 antigen (Fragment)	CD82	Homo sapiens (Human)	108
B7Z910	B7Z910_HUMAN	unreviewed	"cDNA FLJ61711, highly similar to Homo sapiens minor histocompatibility antigen HA-1 (HA-1), mRNA"		Homo sapiens (Human)	948
Q0KH88	Q0KH88_HUMAN	unreviewed	Kell blood group antigen Cellano	KEL	Homo sapiens (Human)	730
A0A087X1S7	A0A087X1S7_HUMAN	unreviewed	CD48 antigen	CD48	Homo sapiens (Human)	252
B4E0H7	B4E0H7_HUMAN	unreviewed	"cDNA FLJ58387, highly similar to Early activation antigen CD69"		Homo sapiens (Human)	135
A0A087WVM2	A0A087WVM2_HUMAN	unreviewed	CD177 antigen	CD177	Homo sapiens (Human)	437
Q96RX1	Q96RX1_HUMAN	unreviewed	Leucocyte differentiation antigen CD84 (Fragment)	CD84	Homo sapiens (Human)	15
J3QS65	J3QS65_HUMAN	unreviewed	T-cell antigen CD7	CD7	Homo sapiens (Human)	35
E9PKH8	E9PKH8_HUMAN	unreviewed	B-lymphocyte antigen CD20	MS4A1	Homo sapiens (Human)	284
Q59F01	Q59F01_HUMAN	unreviewed	CD40 antigen isoform 2 variant (Fragment)		Homo sapiens (Human)	261
A8MQT7	A8MQT7_HUMAN	unreviewed	CD99 antigen	CD99	Homo sapiens (Human)	177
A0A087X113	A0A087X113_HUMAN	unreviewed	CD177 antigen	CD177	Homo sapiens (Human)	139
Q9H3X6	Q9H3X6_HUMAN	unreviewed	T200 leukocyte common antigen (Fragment)	PTPRC	Homo sapiens (Human)	34
A0A087X0Y7	A0A087X0Y7_HUMAN	unreviewed	B-cell differentiation antigen CD72	CD72	Homo sapiens (Human)	359
B4DQ71	B4DQ71_HUMAN	unreviewed	"cDNA FLJ60785, highly similar to Homo sapiens CD300 antigen like family member B (CD300LB), mRNA"		Homo sapiens (Human)	185
A0A0S2Z3C7	A0A0S2Z3C7_HUMAN	unreviewed	CD40 molecule TNF receptor superfamily member 5 isoform 1 (Fragment)	CD40	Homo sapiens (Human)	277
X6R433	X6R433_HUMAN	unreviewed	Receptor-type tyrosine-protein phosphatase C	PTPRC	Homo sapiens (Human)	1145
Q96PT0	Q96PT0_HUMAN	unreviewed	Kallikrein 4 splice variant	KLK4	Homo sapiens (Human)	195
Q29VG4	Q29VG4_HUMAN	unreviewed	CD7 antigen		Homo sapiens (Human)	240
H0YN29	H0YN29_HUMAN	unreviewed	CD276 antigen (Fragment)	CD276	Homo sapiens (Human)	170
H0Y4H3	H0Y4H3_HUMAN	unreviewed	CD99 antigen-like protein 2 (Fragment)	CD99L2	Homo sapiens (Human)	157
A2N011	A2N011_HUMAN	unreviewed	Vh1-D-J3-region (Fragment)		Homo sapiens (Human)	127
A0A0U1RQC9	A0A0U1RQC9_HUMAN	unreviewed	Cellular tumor antigen p53	TP53	Homo sapiens (Human)	410
H6U5S3	H6U5S3_HUMAN	unreviewed	Cellular tumor antigen p53 (Fragment)		Homo sapiens (Human)	393
D6RD81	D6RD81_HUMAN	unreviewed	Monocyte differentiation antigen CD14 (Fragment)	CD14	Homo sapiens (Human)	55
B4DNW9	B4DNW9_HUMAN	unreviewed	"cDNA FLJ57491, moderately similar to T-cell antigen CD7"		Homo sapiens (Human)	166
B4E0G3	B4E0G3_HUMAN	unreviewed	"cDNA FLJ51428, highly similar to T-cell surface antigen CD2"		Homo sapiens (Human)	165
H6U5S2	H6U5S2_HUMAN	unreviewed	Cellular tumor antigen p53 (Fragment)		Homo sapiens (Human)	393
A0A087X1Q1	A0A087X1Q1_HUMAN	unreviewed	Cellular tumor antigen p53	TP53	Homo sapiens (Human)	234
J3KP33	J3KP33_HUMAN	unreviewed	Cellular tumor antigen p53	TP53	Homo sapiens (Human)	343
Q6PIL0	Q6PIL0_HUMAN	unreviewed	IGHV7-81 protein	IGHV7-81	Homo sapiens (Human)	125
B2R888	B2R888_HUMAN	unreviewed	Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein)		Homo sapiens (Human)	375
S5LQU3	S5LQU3_HUMAN	unreviewed	Cellular tumor antigen p53 (Fragment)	TP53	Homo sapiens (Human)	115
J3QLC7	J3QLC7_HUMAN	unreviewed	T-cell antigen CD7	CD7	Homo sapiens (Human)	140
H7C2F2	H7C2F2_HUMAN	unreviewed	CD99 antigen (Fragment)	CD99	Homo sapiens (Human)	201
M0QZW2	M0QZW2_HUMAN	unreviewed	CD70 antigen (Fragment)	CD70	Homo sapiens (Human)	65
A2KUC3	A2KUC3_HUMAN	unreviewed	UGa8H (Fragment)	IGHV	Homo sapiens (Human)	121
H0YK40	H0YK40_HUMAN	unreviewed	CD276 antigen (Fragment)	CD276	Homo sapiens (Human)	156
A0A087WT00	A0A087WT00_HUMAN	unreviewed	CD302 antigen	CD302	Homo sapiens (Human)	195
S5LME3	S5LME3_HUMAN	unreviewed	Cellular tumor antigen p53 (Fragment)	TP53	Homo sapiens (Human)	115
A0N2Q4	A0N2Q4_HUMAN	unreviewed	CD8 antigen (Fragment)	CD8B	Homo sapiens (Human)	192
B2RCR7	B2RCR7_HUMAN	unreviewed	"cDNA, FLJ96239, highly similar to Homo sapiens CD96 antigen (CD96), mRNA"		Homo sapiens (Human)	569
Q9UPY7	Q9UPY7_HUMAN	unreviewed	Fc-gamma receptor IIIb (CD 16)	Fc-gamma receptor IIIB	Homo sapiens (Human)	233
A0A087WXZ1	A0A087WXZ1_HUMAN	unreviewed	Cellular tumor antigen p53	TP53	Homo sapiens (Human)	182
A0A0U1RQT8	A0A0U1RQT8_HUMAN	unreviewed	CD99 antigen-like protein 2 (Fragment)	CD99L2	Homo sapiens (Human)	177
B4DK26	B4DK26_HUMAN	unreviewed	"cDNA FLJ61301, highly similar to CD276 antigen"		Homo sapiens (Human)	480
H0YFB8	H0YFB8_HUMAN	unreviewed	Natural killer cells antigen CD94 (Fragment)	KLRD1	Homo sapiens (Human)	51
Q0ZAK0	Q0ZAK0_HUMAN	unreviewed	Cellular tumor antigen p53 (Fragment)	TP53	Homo sapiens (Human)	116
A0A0C4ZPA0	A0A0C4ZPA0_HUMAN	unreviewed	TRB protein (Fragment)	TRB	Homo sapiens (Human)	200
Q5JVN7	Q5JVN7_HUMAN	unreviewed	T-cell surface antigen CD2	CD2	Homo sapiens (Human)	133
A0A087WZU8	A0A087WZU8_HUMAN	unreviewed	Cellular tumor antigen p53	TP53	Homo sapiens (Human)	382
A0A087WT22	A0A087WT22_HUMAN	unreviewed	Cellular tumor antigen p53	TP53	Homo sapiens (Human)	187
J3QKM7	J3QKM7_HUMAN	unreviewed	CD226 antigen (Fragment)	CD226	Homo sapiens (Human)	37
S5LMG1	S5LMG1_HUMAN	unreviewed	Cellular tumor antigen p53 (Fragment)	TP53	Homo sapiens (Human)	115
B4DQB5	B4DQB5_HUMAN	unreviewed	"cDNA FLJ52016, moderately similar to Leukocyte surface antigen CD53"		Homo sapiens (Human)	160
H0YC40	H0YC40_HUMAN	unreviewed	Leukocyte surface antigen CD47 (Fragment)	CD47	Homo sapiens (Human)	109
S5LMC6	S5LMC6_HUMAN	unreviewed	Cellular tumor antigen p53 (Fragment)	TP53	Homo sapiens (Human)	115
Q6GMX6	Q6GMX6_HUMAN	unreviewed	IGH@ protein	IGH@	Homo sapiens (Human)	465
Q8IUM0	Q8IUM0_HUMAN	unreviewed	Hematopoietic progenital cell antigen CD34 (Fragment)	CD34	Homo sapiens (Human)	293
E7ER71	E7ER71_HUMAN	unreviewed	HLA class II histocompatibility antigen gamma chain	CD74	Homo sapiens (Human)	52
S5LJ49	S5LJ49_HUMAN	unreviewed	Cellular tumor antigen p53 (Fragment)	TP53	Homo sapiens (Human)	115
S5M224	S5M224_HUMAN	unreviewed	Cellular tumor antigen p53 (Fragment)	TP53	Homo sapiens (Human)	115
B4DPP0	B4DPP0_HUMAN	unreviewed	"cDNA FLJ51032, highly similar to CD9 antigen"		Homo sapiens (Human)	141
Q13973	Q13973_HUMAN	unreviewed	Leukocyte differentiation antigen (Fragment)	CDIE	Homo sapiens (Human)	51
B4DVN2	B4DVN2_HUMAN	unreviewed	"cDNA FLJ59767, highly similar to T-cell surface antigen CD2"		Homo sapiens (Human)	270
H0YEU1	H0YEU1_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	249
Q0ZAK1	Q0ZAK1_HUMAN	unreviewed	Cellular tumor antigen p53 (Fragment)	TP53	Homo sapiens (Human)	155
E9PFT5	E9PFT5_HUMAN	unreviewed	Cellular tumor antigen p53 (Fragment)	TP53	Homo sapiens (Human)	155
H0YEA1	H0YEA1_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	193
Q6FHM9	Q6FHM9_HUMAN	unreviewed	"CD59 antigen, complement regulatory protein, isoform CRA_b (CD59 protein) (cDNA, FLJ92039, Homo sapiens CD59 antigen p18-20 (antigen identified by monoclonalantibodies 16.3A5, EJ16, EJ30, EL32 and G344) (CD59), mRNA)"	CD59 hCG_2033390	Homo sapiens (Human)	128
Q96PT7	Q96PT7_HUMAN	unreviewed	Integrin beta 2 (Integrin beta-2) (Fragment)	ITGB2	Homo sapiens (Human)	56
M0R0P0	M0R0P0_HUMAN	unreviewed	"CD209 antigen (CD209 antigen, isoform CRA_b)"	CD209 hCG_22558	Homo sapiens (Human)	268
K7N5N2	K7N5N2_HUMAN	unreviewed	"T-cell receptor, sp3.4 alpha chain (T-cell receptor, sp3.4 beta chain)"		Homo sapiens (Human)	207
Q0KH87	Q0KH87_HUMAN	unreviewed	Kell blood group antigen Cellano	KEL	Homo sapiens (Human)	730
C9D7D0	C9D7D0_HUMAN	unreviewed	Cellular tumor antigen p53	TP63	Homo sapiens (Human)	416
A0A087X1D0	A0A087X1D0_HUMAN	unreviewed	"CD40 antigen (TNF receptor superfamily member 5), isoform CRA_c (Tumor necrosis factor receptor superfamily member 5)"	CD40 hCG_40016	Homo sapiens (Human)	151
A0A0A7E7S5	A0A0A7E7S5_HUMAN	unreviewed	Endoplasmic reticulum aminopeptidase 1 (Fragment)	ERAP1	Homo sapiens (Human)	941
Q546G3	Q546G3_HUMAN	unreviewed	"Kallikrein 3, (Prostate specific antigen), isoform CRA_m (Prostate specific antigen) (cDNA, FLJ93384, Homo sapiens kallikrein 3, (prostate specific antigen) (KLK3),transcript variant 1, mRNA)"	KLK3 hCG_22929	Homo sapiens (Human)	261
D3DT86	D3DT86_HUMAN	unreviewed	"CD55 antigen, decay accelerating factor for complement (Cromer blood group), isoform CRA_g"	CD55 hCG_22206	Homo sapiens (Human)	267
A0A0A7E6D4	A0A0A7E6D4_HUMAN	unreviewed	Endoplasmic reticulum aminopeptidase 1 (Fragment)	ERAP1	Homo sapiens (Human)	941
Q86UZ1	Q86UZ1_HUMAN	unreviewed	CD44 antigen (CD44 protein)	CD44	Homo sapiens (Human)	80
A0A024RC16	A0A024RC16_HUMAN	unreviewed	"CD99 antigen-like 2, isoform CRA_d (CD99 molecule-like 2 isoform 1)"	CD99L2 hCG_39239	Homo sapiens (Human)	262
B5BU36	B5BU36_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 10B	TNFRSF10B	Homo sapiens (Human)	440
Q8NCW4	Q8NCW4_HUMAN	unreviewed	Prostate specific antigen (Prostate-specific antigen)	KLK3	Homo sapiens (Human)	220
D3DUU2	D3DUU2_HUMAN	unreviewed	"CD163 antigen, isoform CRA_b"	CD163 hCG_1811758	Homo sapiens (Human)	1027
B1AP15	B1AP15_HUMAN	unreviewed	"CD55 antigen, decay accelerating factor for complement (Cromer blood group), isoform CRA_d (Complement decay-accelerating factor)"	CD55 hCG_22206	Homo sapiens (Human)	317
F8VV56	F8VV56_HUMAN	unreviewed	CD63 antigen	CD63	Homo sapiens (Human)	145
A0A024RAR8	A0A024RAR8_HUMAN	unreviewed	"Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator, isoform CRA_a"	ARTS-1 hCG_1735555	Homo sapiens (Human)	941
A0A0C4DFW9	A0A0C4DFW9_HUMAN	unreviewed	Cellular tumor antigen p53	TP73 hCG_19088	Homo sapiens (Human)	426
B0YIY4	B0YIY4_HUMAN	unreviewed	"CD3d antigen, delta polypeptide (TiT3 complex), isoform CRA_a (T-cell surface glycoprotein CD3 delta chain) (cDNA, FLJ92244, Homo sapiens CD3D antigen, delta polypeptide (TiT3 complex) (CD3D),mRNA)"	CD3D hCG_40222	Homo sapiens (Human)	171
A0A0A7E6I2	A0A0A7E6I2_HUMAN	unreviewed	Endoplasmic reticulum aminopeptidase 1 (Fragment)	ERAP1	Homo sapiens (Human)	941
Q29VG3	Q29VG3_HUMAN	unreviewed	"CD7 antigen (CD7 antigen (P41), isoform CRA_c)"	CD7 hCG_18659	Homo sapiens (Human)	240
Q0EAF5	Q0EAF5_HUMAN	unreviewed	CD22 antigen (CD22 molecule)	CD22	Homo sapiens (Human)	847
G5E973	G5E973_HUMAN	unreviewed	"CD6 antigen, isoform CRA_d (T-cell differentiation antigen CD6)"	CD6 hCG_40393	Homo sapiens (Human)	468
B4E009	B4E009_HUMAN	unreviewed	"Early activation antigen CD69 (cDNA FLJ55409, highly similar to Early activation antigen CD69)"	CD69	Homo sapiens (Human)	164
Q13965	Q13965_HUMAN	unreviewed	CD36 antigen (Fragment)	CD36	Homo sapiens (Human)	43
M0R294	M0R294_HUMAN	unreviewed	"Kallikrein 3, (Prostate specific antigen), isoform CRA_d (Prostate-specific antigen)"	KLK3 hCG_22929	Homo sapiens (Human)	195
D3DT85	D3DT85_HUMAN	unreviewed	"CD55 antigen, decay accelerating factor for complement (Cromer blood group), isoform CRA_j"	CD55 hCG_22206	Homo sapiens (Human)	293
D3DSR9	D3DSR9_HUMAN	unreviewed	"Tumor necrosis factor receptor superfamily, member 10b (Tumor necrosis factor receptor superfamily, member 10b, isoform CRA_b)"	TNFRSF10B hCG_1645072	Homo sapiens (Human)	411
Q96A30	Q96A30_HUMAN	unreviewed	"Kallikrein 3, (Prostate specific antigen), isoform CRA_e (Putative preproPSA-RP2)"	KLK3 hCG_22929	Homo sapiens (Human)	180
B0YIY5	B0YIY5_HUMAN	unreviewed	"CD3g antigen, gamma polypeptide (TiT3 complex) (T-cell surface glycoprotein CD3 gamma chain) (cDNA, FLJ94613, Homo sapiens CD3G antigen, gamma polypeptide (TiT3 complex) (CD3G),mRNA)"	CD3G hCG_1646880	Homo sapiens (Human)	182
Q9H2G0	Q9H2G0_HUMAN	unreviewed	"CTCL tumor antigen se37-2 (Ubiquitin protein ligase E3A (Human papilloma virus E6-associated protein, Angelman syndrome), isoform CRA_b) (cDNA FLJ77551, highly similar to Homo sapiens ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome) (UBE3A), transcript variant 1, mRNA)"	UBE3A hCG_18679	Homo sapiens (Human)	852
Q5TLG3	Q5TLG3_HUMAN	unreviewed	"CD72 antigen (CD72 antigen, isoform CRA_a) (CD72 molecule)"	CD72 hCG_2011491	Homo sapiens (Human)	359
Q53F96	Q53F96_HUMAN	unreviewed	"CD2 antigen (P50), sheep red blood cell receptor (CD2 antigen (P50), sheep red blood cell receptor variant) (cDNA, FLJ94184, highly similar to Homo sapiens CD2 antigen (p50), sheep red blood cell receptor (CD2), mRNA) (Fragment)"	CD2 hCG_39065	Homo sapiens (Human)	351
Q6IAV3	Q6IAV3_HUMAN	unreviewed	"Eukaryotic translation initiation factor 1, isoform CRA_a (Putative translation initiation factor) (SUI1 protein) (cDNA, FLJ92128, Homo sapiens putative translation initiation factor (SUI1), mRNA)"	SUI1 EIF1 hCG_1771529	Homo sapiens (Human)	113
D3DUU0	D3DUU0_HUMAN	unreviewed	"CD163 antigen, isoform CRA_a"	CD163 hCG_1811758	Homo sapiens (Human)	994
A0A0A0MT22	A0A0A0MT22_HUMAN	unreviewed	"Protein tyrosine phosphatase, receptor type, C, isoform CRA_d (Receptor-type tyrosine-protein phosphatase C)"	PTPRC hCG_1811178	Homo sapiens (Human)	1306
A0A0S2Z509	A0A0S2Z509_HUMAN	unreviewed	"Selectin P (Granule membrane protein 140kDa, antigen CD62), isoform CRA_d (Selectin P isoform 1) (Fragment)"	SELP hCG_38007	Homo sapiens (Human)	829
Q96LM7	Q96LM7_HUMAN	unreviewed	"Leukocyte antigen CD37 (cDNA FLJ25364 fis, clone TST01761, highly similar to LEUKOCYTE ANTIGEN CD37)"	CD37	Homo sapiens (Human)	156
Q5R341	Q5R341_HUMAN	unreviewed	"Selectin P (Granule membrane protein 140kDa, antigen CD62), isoform CRA_a (p-selectin)"	SELP hCG_38007	Homo sapiens (Human)	768
D3DUT9	D3DUT9_HUMAN	unreviewed	"CD163 antigen-like 1, isoform CRA_a"	CD163L1 hCG_25946	Homo sapiens (Human)	1061
M0QZG5	M0QZG5_HUMAN	unreviewed	"CD209 antigen (CD209 antigen, isoform CRA_j)"	CD209 hCG_22558	Homo sapiens (Human)	334
Q53ZX0	Q53ZX0_HUMAN	unreviewed	"CD69 antigen (CD69 antigen (P60, early T-cell activation antigen), isoform CRA_a) (cDNA FLJ75888, highly similar to Homo sapiens CD69 antigen (p60, early T-cell activation antigen) (CD69), mRNA)"	CD69 hCG_38142	Homo sapiens (Human)	199
A0A0K0K1A5	A0A0K0K1A5_HUMAN	unreviewed	Protein TRBV6-5 (Fragment)	TRBV6-5	Homo sapiens (Human)	114
F8U8C0	F8U8C0_HUMAN	unreviewed	Tumor necrosis factor receptor superfamily member 10A (Tumor necrosis factor receptor superfamily member 10a variant 2)	TNFRSF10A	Homo sapiens (Human)	310
H0YLT8	H0YLT8_HUMAN	unreviewed	CD276 antigen (Fragment)	CD276	Homo sapiens (Human)	132
B1AMW1	B1AMW1_HUMAN	unreviewed	"CD58 antigen, (Lymphocyte function-associated antigen 3), isoform CRA_c (Lymphocyte function-associated antigen 3)"	CD58 hCG_37075	Homo sapiens (Human)	240
